0.88,59.86,1.29,41.1,35.6,8.9,29.9,27.9,13.9
3,40.3,4.81,409.9,399.7,48.6,29.7,29.3,10.2
9.16,46.08,14.78,1690.1,1647.3,324.2,27.4,27,12
0.35,64.98,0.56,6,4.4,2.4,24.1,20.6,15.2
0.86,57.42,1.38,40.9,39.7,5.3,27.9,27.5,10.1
1.58,55.99,2.55,92.3,80.7,26.2,32.4,30.3,17.3
4.2,48.41,6.68,183.6,216.5,172.7,27.1,29.5,26.1
9.58,50.5,15.45,1082.8,490.3,1005,46.6,31.4,44.9
9.08,45.12,14.65,717.3,480.2,658.7,43.3,35.4,41.5
7.73,34.78,12.47,477.3,411,503,30.6,28.4,31.4
