-952,2.7,6.5,0.62
2303,34,-20.2,0.75
-319,6.4,1.08,0.39
-129,11,-0.79,0.59
-6342,35.5,32.5,0.91
-690,1.86,5.22,0.62
-78.1,0.181,0.496,0.78
46.1,1.11,-0.19,0.57
-122,0.598,0.714,0.61
-17.6,0.0436,0.113,0.61
