-100,0.480,0.626,0.75,6.8
-1105,4.59,6.63,0.85,48.6
-3557,31.7,18.61,0.84,248
-19.5,0.17,0.116,0.50,3.7
-64,0.95,0.34,0.71,10.2
-250.7,1.56,1.512,0.62,27.6
-78,1.171,1.519,0.40,42.5
81.2,36.73,-5.97,0.73,297
618.5,39.8,-12.87,0.81,237
-1568,12,7.741,0.69,156
