-18.91,0.421,0.199,0.078,0.065,0.928,0.715
-2.854,0.567,0.0067,0.032,0.0152,0.927,0.51
-5175,105.4,45.8,4.01,8.65,0.888,201
-2650,65.6,17.12,5.83,9.8,0.908,96
-4149,54.8,43.7,8.88,9.63,0.867,184
