-15.18,0.182,0.243,0.0216,0.791,0.938
0.205,0.064,0.134,-0.08,0.388,0.97
-2354,22.6,34.37,4.41,0.745,144
-1816,18,23.6,7.29,0.766,111
-2009,20.1,24.9,11.2,0.824,105
