NikoF,Mass,MassPercent,COM,Volume
headneck,4.5,6.89,50,4.1
torso,30.2,46.25,44.2,31
arm,1.7,2.6,47.9,1.6
forearm,0.8,1.23,43.7,0.7
hand,0.2,0.31,50,0.2
thigh,9,13.78,41.4,8.5
leg,2.9,4.44,44.6,2.7
foot,0.7,1.07,36.1,0.6
