Jens18,MaleMass,MaleMassRescaled
headneck,7,6.986027944
trunk,44.6,44.51097804
arm,3.6,3.592814371
forearm,1.9,1.896207585
hand,0.9,0.898203593
thigh,11.4,11.37724551
leg,4.8,4.790419162
foot,1.7,1.696606786
