Jens6,Mass,MassRescaled
headneck,18.2,18.16367265
trunk,43,42.91417166
arm,2.4,2.395209581
forearm,1.3,1.29740519
hand,0.8,0.798403194
thigh,8.5,8.483033932
leg,4.6,4.590818363
foot,1.9,1.896207585
